0 0.99
0 0.85
0 0.99
1 0.95
0 0.98
1 0.93
0 0.99
0 0.76
1 0.91
1 0.97
0 0.99
0 1
0 0.95
1 0.93
0 0.99
0 1
0 1
0 0.98
0 0.99
0 1
0 0.95
0 0.98
0 1
0 1
0 0.99
1 0.96
0 1
0 0.99
0 1
1 0.75
0 0.84
0 0.99
1 0.94
0 0.98
0 0.92
0 0.96
0 0.91
0 0.92
0 0.99
0 1
1 0.97
1 0.61
0 0.81
0 1
1 0.68
0 0.88
0 0.93
0 0.96
0 0.8
1 0.83
0 0.99
0 1
0 0.99
1 0.94
0 0.97
0 0.92
0 0.98
1 0.59
0 0.99
0 0.99
0 1
0 1
0 0.98
1 0.91
1 0.84
0 0.66
0 1
0 0.92
1 0.95
1 0.81
1 0.96
0 0.93
1 0.92
0 0.88
0 0.94
0 0.94
1 0.55
1 0.87
0 0.99
0 0.97
0 1
1 0.7
0 0.85
1 0.82
1 0.91
0 1
1 0.97
0 0.96
0 0.98
0 0.89
1 0.71
0 0.99
1 0.91
0 0.95
0 0.95
1 0.78
0 0.88
1 0.98
0 0.98
0 1
0 0.96
1 0.97
1 1
1 0.96
1 0.96
0 0.99
1 0.73
0 0.98
0 0.92
0 0.99
0 0.98
0 1
1 0.86
0 0.87
1 1
1 0.84
1 0.78
1 0.69
0 0.95
1 0.84
0 1
0 0.89
0 0.91
0 0.85
0 0.98
0 1
0 0.94
0 0.9
0 0.97
0 0.99
0 0.98
0 0.98
1 0.97
0 0.99
0 0.97
0 0.95
1 0.92
0 0.95
0 0.99
1 0.87
0 0.97
0 0.96
0 1
1 0.99
0 0.86
0 0.95
0 0.97
0 1
1 0.76
1 0.87
0 0.99
0 0.77
0 0.93
1 1
0 0.99
0 0.99
0 0.97
0 0.97
0 0.99
0 0.97
0 0.95
1 0.88
0 0.89
0 0.99
1 0.76
0 0.94
0 0.98
1 1
0 0.99
0 0.96
0 0.85
0 0.89
0 0.99
0 1
0 0.96
0 0.94
0 0.77
0 0.88
0 0.83
1 0.95
1 0.91
0 1
0 1
0 0.7
0 0.97
0 1
0 0.95
0 0.91
0 0.83
0 0.92
1 0.98
0 0.9
0 0.87
0 0.63
0 0.81
0 0.92
0 0.95
1 0.99
0 0.98
1 0.97
1 0.68
1 0.99
0 0.79
0 0.96
0 0.98
0 0.96
1 0.9
1 0.89
0 0.96
0 0.9
0 0.96
0 0.92
0 0.83
0 0.93
1 0.92
1 0.8
0 0.94
1 0.99
1 0.88
0 0.95
0 0.99
0 0.77
1 0.69
0 0.97
0 0.99
0 1
0 0.96
0 0.98
0 0.98
1 0.88
0 0.99
0 1
0 0.8
0 0.99
0 0.9
1 0.8
1 0.71
0 0.99
0 0.95
0 0.92
0 1
0 0.99
1 1
0 0.9
0 0.94
0 0.99
0 0.98
0 0.98
1 0.96
0 0.98
1 0.94
1 0.73
0 1
0 0.88
1 0.81
0 0.99
0 0.98
0 1
1 0.95
0 0.98
0 0.94
0 1
0 0.85
0 0.99
0 0.98
1 0.61
0 1
0 0.97
1 0.87
0 0.98
1 0.78
0 0.97
1 0.98
1 0.88
0 0.96
0 0.97
1 0.93
0 0.98
0 0.98
0 0.99
1 0.99
1 0.97
1 0.83
0 0.86
